x,y,z_true,layer
1872.7005942368125,1972.83867690103,551.7054809252812,0
1872.7005942368125,1972.83867690103,551.7054809252812,1
1872.7005942368125,1972.83867690103,551.7054809252812,2
1872.7005942368125,1972.83867690103,551.7054809252812,3
1872.7005942368125,1972.83867690103,501.7054809252812,4
1872.7005942368125,1972.83867690103,501.7054809252812,5
1872.7005942368125,1972.83867690103,501.7054809252812,6
1872.7005942368125,1972.83867690103,451.7054809252812,7
1872.7005942368125,1972.83867690103,451.7054809252812,8
1872.7005942368125,1972.83867690103,451.7054809252812,9
4753.571532049581,1704.9258100064148,571.4317361383023,0
4753.571532049581,1704.9258100064148,571.4317361383023,1
4753.571532049581,1704.9258100064148,571.4317361383023,2
4753.571532049581,1704.9258100064148,571.4317361383023,3
4753.571532049581,1704.9258100064148,521.4317361383023,4
4753.571532049581,1704.9258100064148,521.4317361383023,5
4753.571532049581,1704.9258100064148,521.4317361383023,6
4753.571532049581,1704.9258100064148,471.4317361383023,7
4753.571532049581,1704.9258100064148,471.4317361383023,8
4753.571532049581,1704.9258100064148,471.4317361383023,9
3659.9697090570253,281.0243034842774,587.4454236112908,0
3659.9697090570253,281.0243034842774,587.4454236112908,1
3659.9697090570253,281.0243034842774,587.4454236112908,2
3659.9697090570253,281.0243034842774,587.4454236112908,3
3659.9697090570253,281.0243034842774,537.4454236112908,4
3659.9697090570253,281.0243034842774,537.4454236112908,5
3659.9697090570253,281.0243034842774,537.4454236112908,6
3659.9697090570253,281.0243034842774,487.44542361129083,7
3659.9697090570253,281.0243034842774,487.44542361129083,8
3659.9697090570253,281.0243034842774,487.44542361129083,9
2993.292420985183,1103.1474091783007,570.8906457818831,0
2993.292420985183,1103.1474091783007,570.8906457818831,1
2993.292420985183,1103.1474091783007,570.8906457818831,2
2993.292420985183,1103.1474091783007,570.8906457818831,3
2993.292420985183,1103.1474091783007,520.8906457818831,4
2993.292420985183,1103.1474091783007,520.8906457818831,5
2993.292420985183,1103.1474091783007,520.8906457818831,6
2993.292420985183,1103.1474091783007,470.8906457818831,7
2993.292420985183,1103.1474091783007,470.8906457818831,8
2993.292420985183,1103.1474091783007,470.8906457818831,9
780.0932022121826,795.6071030451764,540.1258630680204,0
780.0932022121826,795.6071030451764,540.1258630680204,1
780.0932022121826,795.6071030451764,540.1258630680204,2
780.0932022121826,795.6071030451764,540.1258630680204,3
780.0932022121826,795.6071030451764,490.12586306802046,4
780.0932022121826,795.6071030451764,490.12586306802046,5
780.0932022121826,795.6071030451764,490.12586306802046,6
780.0932022121826,795.6071030451764,440.12586306802046,7
780.0932022121826,795.6071030451764,440.12586306802046,8
780.0932022121826,795.6071030451764,440.12586306802046,9
779.9726016810132,731.9689301372507,544.7493028812275,0
779.9726016810132,731.9689301372507,544.7493028812275,1
779.9726016810132,731.9689301372507,544.7493028812275,2
779.9726016810132,731.9689301372507,544.7493028812275,3
779.9726016810132,731.9689301372507,494.7493028812275,4
779.9726016810132,731.9689301372507,494.7493028812275,5
779.9726016810132,731.9689301372507,494.7493028812275,6
779.9726016810132,731.9689301372507,444.7493028812275,7
779.9726016810132,731.9689301372507,444.7493028812275,8
779.9726016810132,731.9689301372507,444.7493028812275,9
290.4180608409973,2919.0316642573366,554.3080194693916,0
290.4180608409973,2919.0316642573366,554.3080194693916,1
290.4180608409973,2919.0316642573366,554.3080194693916,2
290.4180608409973,2919.0316642573366,554.3080194693916,3
290.4180608409973,2919.0316642573366,504.30801946939164,4
290.4180608409973,2919.0316642573366,504.30801946939164,5
290.4180608409973,2919.0316642573366,504.30801946939164,6
290.4180608409973,2919.0316642573366,454.30801946939164,7
290.4180608409973,2919.0316642573366,454.30801946939164,8
290.4180608409973,2919.0316642573366,454.30801946939164,9
4330.880728874676,1179.2931740002812,548.9490530727794,0
4330.880728874676,1179.2931740002812,548.9490530727794,1
4330.880728874676,1179.2931740002812,548.9490530727794,2
4330.880728874676,1179.2931740002812,548.9490530727794,3
4330.880728874676,1179.2931740002812,498.94905307277935,4
