x,y,z_true,layer
1872.699146152471,1972.8372694372558,551.7055505815395,0
1872.6998757925912,1972.8384634538784,551.7054943644438,1
1872.700905144378,1972.8401522572472,551.7054148665768,2
1872.7014518964359,1972.8385169625,551.7054829482965,3
1872.7005752206046,1972.8376743716656,501.70552470505453,4
1872.7005757236766,1972.8383882423911,501.70549360596016,5
1872.7009169553728,1972.8378496700866,501.70551509918437,6
1872.7011135833268,1972.8402096399432,451.70541116541807,7
1872.7004854766642,1972.8390786127522,451.70546405367986,8
1872.7012843808043,1972.8382756805581,451.7054944241798,9
4753.571756142062,1704.9258225988156,571.4317429930393,0
4753.5716297256795,1704.925036996631,571.4317450083844,1
4753.571556559756,1704.926308004706,571.4317331356102,2
4753.5729831931885,1704.926769277241,571.431773894928,3
4753.573685232039,1704.925042658852,521.4318087141814,4
4753.572404370218,1704.9259933484207,521.4317618066484,5
4753.573721852515,1704.9250017081295,521.4318101593449,6
4753.5706923277385,1704.9252106137694,471.4317146245088,7
4753.569408153857,1704.9252842513931,471.4316742413347,8
4753.57077291692,1704.9259604002013,471.43171145861743,9
3659.970050813001,281.02617965511666,587.4453512690532,0
3659.9706594808636,281.02372658062177,587.4454757357087,1
3659.968810642354,281.02479540344893,587.4453766742134,2
3659.9683888238183,281.0261349430433,587.4453061751565,3
3659.970888497146,281.02383430862534,537.4454775095071,4
3659.9679959224964,281.0256573566516,537.4453159303544,5
3659.96959451718,281.0255413005894,537.4453662577278,6
3659.9681146293665,281.0237041092545,487.44540467673335,7
3659.969714300725,281.0243504648712,487.4454217059806,8
3659.969258991554,281.0249263342098,487.44538364273103,9
2993.291353364754,1103.1472667988157,570.8906963652529,0
2993.292541280815,1103.1479236171347,570.8906431755855,1
2993.293132600061,1103.146284536209,570.8906044968439,2
2993.2908868710124,1103.1486868551226,570.8907276671987,3
2993.292753299195,1103.146660691764,520.8906251164875,4
2993.2939721371586,1103.147524852935,520.8905717229584,5
2993.293600282367,1103.1474766967822,520.8905893502067,6
2993.294481733108,1103.1491645191431,470.8905573329355,7
2993.2921720210347,1103.1483807492516,470.89066381375596,8
2993.293066361133,1103.1487778098583,470.8906231643057,9
780.092237288722,795.6077890966363,540.1258101042673,0
780.0942606366694,795.60534430569,540.1259921342303,1
780.0920189536699,795.6050638129987,540.1260012891573,2
780.0929328053481,795.6078205874321,540.1258111809002,3
780.0947045692348,795.6071771399568,490.12586496538216,4
780.0948308277282,795.6057229437181,490.12596813162725,5
780.0914988297433,795.6070474974774,490.125858909466,6
